A - a

a kind of bird	कंचर गाड्‍दी
shift.forward	मुन्नेड़क जरगुमड़
shine	मेरसमड़
·	मेरसुडु
·	मेरस्मड़
shining brightly (beam of light)	तेल्‍लगा मेरसमड़
shining dimly (beam of light)	मेरसो
shirt	अंगी
shock	उल्‍किसी अरमड़
shocked	टेव्‍वेर आयमड़
shoot	मोल्‍का
shop	दुकानम
short	कुत्तेम
short (height)	पोट्टिगा
short (length)	पोट्टिद
short pants	हपेंट
short steps	मेल्‍लेगा
short.of breath	कस-कस इन्‍मड़
shorts	हपेंट
shoulder	कांजमड़
shoulder bag	संका जॊरा
shout	कल्ला कियमड़
shove	अच्‍हुडु
show	हूपिच्मड
shrimp	रोय्या
shrine	पेन-गडा
shrink (as in cloth)	कुत्तेम आयमड़
shrink (cheeks)	वत्तिस होन्‍मड़
shrivel up	सिन्नगा-सिन्नगा आयमड़
shrub	जप्‍पी
·	पोदा
shudder	जड्ता हियमड
·	वन्‍कमड़
shut	केहमड़
shy (be)	सिग्‍गु अरमड़
sickle (small)	कुरपे
side	पकक
side of drum	सिट्‍केरा बाजू(डोलूनद)
sieve	गाड़नी
·	चाड्नी
·	जल्‍लेडा
·	जल्‍लेडा पियमड़
sift	तीर्पमड़
signet ring	टिक्‍ली मुद्दा
silent	सपलाका
silent (be)	सपडांका मनमड़
silver	एंडी
silverfish	होंगगल्‍लोड
similar (be)	जोडांच्‍सेके
similar to that	अदुन लेसीं
similar to this	इदुन लेंसीं
simply	उत्तगेन
sin	पाप
since	पज्‍जा/पज्‍जो
sing	पारुडु
sink	एते मुडाह्मड़
·	एते मुडुंगमड़
·	ओदोल आयमड़
sink down	दिगा बडमड
sister's daughter	सडे-मियाड
sister's son	हडे मर्रि
sit	उद्दुड
six (m.)	हारुर
six (nm.)	हारूं
six/eight footed	हारुं,एनमिदि काल्‍कु
size.of.eyes	कळकुना नेरवु
skin	तॊल
skin (of fruit or animals)	तोलू
skine	पेद्दा नोंडे
skins	तोल्‍कु
sky	आकाशम
slap	सेंपा पोरो तन्‍मड़
slate	पाटि
sleep	निद्रा
·	मींडमड़
·	मींडा
·	हिड मींडमड़
sleep (make to)	मिंडिच्‍चुड
sleep.in.nest	गूडाते मींड़मड़
sleep.on.tree	मरा कोम्मा पोरो मींडमड़
sleep.together	दंटा-दंटा मींडमड़
slender	बारिक
slide	पुस्‍कमड़
slime (in water, or on stone)	पाकुर
slingshot	ओड़सेला
slip	जारसोन्‍मड़
·	पुस्‍कमड़
slippery	जार-जार
slough of snake	कूसम
slowly	मेल्‍लगा
small	सिन्नगा
small basket	सिन्ने तट्टा
small bee-hive	मेस
small copper coin	एंडि कोत्ता
·	रागी कोत्ता
small drum	डोल
·	मद्देला
small earthen pot	पंते
small owl	पैडीकंटे
small piece of cloth	कप्‍पिड़ पॆगू
small stone	बंडा
small village	सिन्ने नार
small.legs	सिन्ना काल्‍कु
small.pond	गुंटा
small.rags	सिन्ने पॆगु
smallest	कडगोट्टोड
smear	गूरे मेत्तुड
smear (vermilion)	मिड्‍स्मड़
smear floor with cow dung solution	उसुड़
smell	गब्‍बु
·	गब्‍बु
smell of human sweat	पुल्‍लां-पुल्‍लां गब्‍बु
smell.like.goat.milk	जिड्डु
smoke	पोया
smoke (cigarette)	उनुडु
smoke (fire)	पोया
snail	डोबुर्का
snake	तरास
snake (cast skin)	कूसम
snake (cobra's hood)	पडगे
snake (kind of)	कट्‍ला तरास
·	दुर्‌नागि
·	दोंडेल तरास
·	नयतरास
·	मंजेर गुन्ना(रोंड तल्‍लना तरासु)
·	मासूल तरास
·	सेडुगु तरास
snake God	नागोबाल
snake lizard	तरास डोक्के
snake pit	तरास सोर्रे
snap (a rope)	नमीस-
·	नेम्‍हामड़
snap fingers	सिट्‍के वाटमड़
snarl	रेंका वाटमड़
snatch away	इगसेके होन्‍मड़
sneeze	तुह्‍कुड़
sniff	मूस्‍कुड
snore	गोंड्रुंमड़
snuff	नस
soaked (to be)	नांदमड़
soap	सब्‍बु
soft	मेत्तगा
soft bone tortoise	तोल तांबेल
soft skin	गिलगिला मेंदुल
soft spot (on head)	माडा
soft.back.tortoise	मेत्तटा तांबेल
soft.cover.egg	तोले मेंजू
soften	मेत्तगा कियुडु
soil (dark)	कर्रे तोडी
soil clothes	पच्‍चि कपडींक दुब्‍बा अंटमड़
soiled (become)	गोह्डे-मा-
sole of foot	अरि काल
solid	गट्टिगा
some	गोडचो
somebody (m.)	बोरो
somebody (nm.)	बद्दना
something	बतलो
something (nm.)	बद्दना
sometimes	बस्के-बस्के
·	बस्‍केळ्‍क
somewhere	बगनना
son	पेडाल
·	मर्रि
son's or daughter's mother-in-law	हेर्यड
son's wife	कोडियड
song	पाटा
son-in-law	हडे
sons and daughters	मियड-मर्रि
sore (swollen)	दद्दु
sore (wound)	पुन
sorrow	पिकिर
sort	जाति
·	तीर
soul	जीवा
sound (a)	आवाज
sound (make)	नेक
sound (of drum)	डांग
sound.of.birds	पिट्टेना कूसुड
sound.of.goat	मॆ इंचि अड़मड़
sound.of.hen	कोरॆं-कोरॆं इन्‍मड़
sound.of.mice	किचकिच इन्‍मड़
sound.of.spitting	पुचुक इन्‍मड़
soup	हित्ता पुलसु
sour (bad)	हव्‍सोत्ता
sour (to be)	हव्‍वीकांटी
sour (to make)	हव्‍वुडु
south	दच्‍चेना
sow (scatter)	विसुरमड़
sow (with seed drill)	येदमड़
sow seed	विज्‍जा वाटमड़
span	जॆनेड
spare (to)	मिगुल्तव
spark	मिनगुर
sparks	मिन्‍गुल्‍क
sparrow	ऊर बिस्‍के
·	कोडका पिट्टे
speak	वड़कुमड़
spear	गोर्का
spices	कुसिर सामान
spider	बल्‍ली
spider.web	बल्‍ली पातर
spill	तोल्‍कमड
spill (to)	तुह-
spilt (be)	जल्क-
·	तोड्ग-
spine	केरी
spinster	मरमीं आयवा पोरी
spirit	वड़ी
spirit (malevolent)	देय्यम
spirit (of death)	येमुडु
spit out	उस्‍कुड
spittle	उच्‍चुल
splash	सिल्‍लुमड़
·	सिल्‍लुमड़
splash (sprinkle)	सिन्‍कुल्‍कु
spleen	सेदु
splint	सीपा
splinter	पुल्‍ला
split	पय्‍हुड
split (to be)	हरहुड
split (wood)	हिड अरहमड़
split up (divide)	हिस्‍सां कियमड
spoil	कराब कियमड़
spoiled (to be)	कराब आयमड़
spoilt (become)	मुर्ग्मड़
spoilt (to be)	पाड आयमड़
spoke of wheel (thick)	आरें
sponge gourd	बीरे काया
spoon	सेम्‍सा
spoon (ladle)	हुक्‍कुड़
spot	सुक्‍का
spot (swollen)	दद्दु
spot on forehead	टिक्‍ली
·	बोट्टू
spot on skin (mole)	कुरपुम
spouse's elder sister	अंगे
spouse's younger sister	संगो
spread (divide)	वेरे कियमड़
spread (to be)	पैलंच्मड़
·	बय्यरा आयमड़
spread manure	एरवु वाटमड़
spread news	कबुर कियमड़
spread out (on the ground)	बय्यरा कियमड़(पैलांच्मड़)
spread out (something flat)	तारमड़
spread out (stretch)	हांगुड
spring (of water)	जला
spring up	बुड्का
spring.of.water	सेल्मे
sprinkle (food)	पडीं
sprinkle (liquid)	सिन्‍कुल्‍कु
sprout (abundant)	मियुड
sprout (germinate)	मोलिय्मड़
squeeze (in hands)	पिस्कमड
squeeze (press)	अदुम्मड़
squeeze (through)	कडसि होन्‍मड़
squeeze out	पिंडमड़
squirrel	बोद्दी उड्ता
·	वेर्से
stab	कुटुसमड़
stab (accidentally)	गिच्मड़
stacked	उंदान पोरो उंदि
stainless steel	स्‍टेनलेस
stair	गर्से
stalk	तोडमे
·	मोरोल
stand (stop)	आगुडु
stand (to)	निल्‍लुड
stand (up)	नितमड़
stand erect	डिङ-
standing (to be)	नित्तिसी-
standing (to put)	निल्‍लुस्मड
star	सुक्‍का
start	दल्‍गमड़
·	मूता तेंडमड़
·	सुरुव कियमड़
start of rainy season (in June)	मिरगु
stay	मंदमड़
steal	दोसकुन्‍मड़
·	लुटांच्मड़
steel	कच्‍चि
·	स्‍टील
steel (for flint)	कच्चि-टुक्डे
steel (with flint)	जकामुका
steel for firemaking	पोलाद
·	पोलादता तुकडा
steel tip of plough	कर्रु
steep downward slope	उतार
steep upward slope	दडी
steep.side.of.mountain	रापू
stem	मोल्‍का
stem joining point	तोड्मे
step	तर
·	पाय्‌री
step (of ladder)	सीपा
steps	निच्‍चेना
stick (attach)	अंटकुन्‍मड
stick (bamboo)	दुड्डु
stick (firewood)	कट्टे
stick (for measuring)	बेता कट्टे
stick (medium)	सिन्ना कट्टे
stick (multi-purpose)	कचलम मुलकट्टे
stick (noise-making, to frighten animals away)	लोटारम
stick (short)	कॊला
stick (threshing)	गूटे
stick (with spike)	मुलकट्टे
·	मुलगट्टे
stick twisted in rope	सडड्चा
sticky	जिगुर-जिगुर
stiff	गट्टिगा
still birth (animals)	ईस्‍कापोच्‍चमड
sting	कस्‍कुड
stir	मेदुलमड़
stomach	पीर
stone	पर्पु बंडा
stone (for grinding)	जोत्ता
stone (for sharpening)	मेय्‍से बंडा
stone (of fruit)	कोरडॊकी
stone (pestle)	पाटा बंडा
stone of fruit	पेडे
stone.for.washing clothes	कपडीं हुक्‍कना बंडा
stone.on.which.feet.is.washed	राती बंडा
stoop	मुड्स-
stop (cause to)	निपूस्मड़
stop (moving)	आपुड
stop (stand)	आगुडु
stop (wait)	एदुर हूडमड़
stopper	मूता
store area above rafters	अट्‍कु
stork	कोंगा
·	कोंगा
storm	दुमारम
story	वेसूडि
straight	नेम
straight (down)	ओड्वंप
strain	जल्‍लेडा पियमड़
strainer	जल्‍लेडा
strangle	नेस्‍का वायाकोंटा पियमड़
strap (leather)	वारना
stream	ओर्रे
stream (large)	कुडेर
stream (small)	सील्का
strength	लग्‍गु
strength.of.its.bones	अवुना बोक्‍का बलम
stretch (for something)	हाह्मड़
stretch (oneself)	तॊमिसि सवरगा कियमड़
stretch (something)	हांगुड
strike target	उडी-की-
strike with fist	कुच्‍चुडु
string	सुतिल नोंडे
string (of musical instrument)	वारी
stringed instrument (kind of)	किन्नेरा
·	कींकिर
·	जत्तूर
stringed instrument (part of)	कींकिर पुल्‍ला
·	कॊला
strip (of bamboo)	बद्दा
strip (remove)	दोसकुन्‍मड़
strip (scrape)	कूसुड
stripe	गीता
·	मेंदुल पोरोटा गीतां
stroke	दन्का
stroll	वॆली
strong	गट्टिगा
·	गट्टिगा
·	मज्बूत
strongly	लगांचि
stubble	कुट्टा
stumble	देबा दल्‍गमड़
such a	इसंटद
suck	ऊतुडु
suddenly	अचानक
·	आपोआप
sufffocate	गोंदकेतुन अद्मिसी पियमड़
suffice	हालुमड़
sufficient	पुर्ता
sufficient (enough)	आंता
sufficient (it is)	आंता
sugar	सेक्‍करा
sugar (brown)	बेल्‍लम
sugar cane	ऊच डेंडे
suitable (be)	जोडांच्‍सेके
sulpher	गंदक
summer	एद्दी कालम
·	एद्दी कालम
summon	केयमड़
sun	पोड्द
sun rise (time of)	पोड्‍द पेय्‍सना वॆला
Sunday	अय्तारम
sunlight	एद्दी
sunrise	पोड्द-पेय्‍सनाल
supplies	संदा
support	आसर
surname	पाडी
surprised (be)	वेरियमड
surrounding	नालुं पकां
·	सुटुरगा
survive (to)	मैयमड़
swallow	मिंगुडु
swallow saliva	उच्‍चुल मिंगमड़
swear.word.that.means.eunuch	गांडु
sweat	उबर
·	सेम्टा
sweat (to)	सेम्टा दोसमड़
sweat.due.to.humidity	मॆंदुल उबरिच्मड़
sweat.odour	सेमटा गब्‍बु
sweep	हेय्युड
sweet	तिय्यगा
sweet (kind of)	पासेम
·	पूर्णम
·	सम्‍ली
swell	तोयमड़
swim (humans)	ईदमड़
swing	ऊंगंमड़
·	लोमी-की-
·	लोमे-मा-
swing (a)	ऊकड
swing cradle	ऊंगुडु
swing.from.tree	मराकुंक वेलाडरमड़
swollen area	उब्‍बुता जॆगा
swoon	रिमा वायमड़
sword	कच्‍चि
·	तल्वार
sword (part of)	पिडि

T - t

table	टेबल
·	बेंच
tablet	गोलि
tablet (kind of)	इंगु
tadpole	तोका पन्ने
tail	तॊका
tail (of bird)	गुदापुट्टी
tailor	टेलर
take	एतमड़
take away	पीसि होन्‍मड़
take care of	पोस कियमड़
take fright	वेरियसि
take oath	ओट्टु पियमड़
take off clothing	कुडुह्मड़
take on shoulder	एत्तुडु
take out	तेंडुडु
take out (everything)	रिकोम कियमड़
take place	उद्दुड
take pleasure	मंदे-पी-
take this	इदे
take to lap	एत्तुडु
take with	पीसि होन्‍मड़
tale	वेसूडि
talk	वड़कुमड़
talkative	तोय्‌टल
tallest	एत्तू
tamarind seed	हित्ता पेडे
tamarind tree	हित्ता (मरा)
tambourine-shaped drum	डप
tanner	माद्‍गी
tar	डांबर
taste	रुसि
tasteless	रुसि हिल्‍वद
·	सप्‍पगा
tattoo (pierce)	कोह्कुडु
tea	सहा
·	साहा
teach	करहमड़
teacher	गुरजी
teak tree	तेका मरा
teardrop	कडेर
tease	सिडांचमड़
tell	वेहमड
tell a lie	पोंगुड़ वेहामड़
temple	गुडि
·	मटम
ten	पदि
tender	मुदुरवद
·	लॆतद
term of abuse for women or animals	रांडे
that	की
that (m., dist.)	वोर (ओर)
that (nm.)	अद
that many (m.)	अचवेल्‍ले
that many/much (nm.)	अच्चोर
the gift given to the daughter at the time of marriage	अहेर
the name of bird	तॊका पिट्टे
the one… the other	बोर . . . बोर . . .
their (dist.)	ओरद
their (prox.)	इरद
their nest	अवुना गूडां
their own	ओनद
themselves	बोरद-ओरे
then	अस्के
then (after)	मर्रा
there	अग्गा
therefore	इंचेके
·	इदुन हाटीं
·	दान हाटीं
these (m., prox.)	इर
these (m.)	इर
·	इव्वुर
these (nm., prox.)	इव
they (m., dist.)	ओर
they (nm., dist.)	अव
thick	ओत्तू
·	सिक्‍कगा
thick (fat)	दोड्डू
thick (flat things)	मंदम
·	रट
thick (of forest)	मस्‍क
thieve	लुटांच्मड़
thigh	तोडा
·	रोंडि
thin	सन्नम
thin (flat things)	बकगा
thin (in radius)	बारिक
thin (liquid)	पातूर
thin.forest	मुड़गे
think	विचारम कियमड़
think poorly of	दया
third	मूडो
thirsty (be)	दूपा
thirteen	पदमुडु
this (n)	इद
this many (m.)	इचटुर
this many/much (nm.)	इच्चोर
this year	इय्योड
thistle	हाह्‍कुना पोदा
thorn	हाप
thorn bush	हाह्‍कुना पोदा
thorn(s)	जिम्मा हाप
those (m.)	ओर
those (nm.)	अव
thought	विचारम
thread	दारम
thread a needle	कडसि होन्‍मड़
thread on a screw	गेरीं
threaten	वेराहमड़
three (m.)	मुव्‍वुर
three (nm.)	मूडू
three days from now	हटापिर्ने
three times	मुडू मल्‍कां
thresh (lightly)	दुल्‍पमड़
thresh (with bullocks)	विस्सुमड़
threshing floor	कडा
threshing stick	गूटे
threshold	अरगु
throat	गोंदके
throw	इस्रुमड़
·	दिगादूडस्मड़
throw (scatter)	विसुरमड़
thrust	लोप्‍पो वाटमड़
thumb	पेर्सा बोट्टा
thumb imprint	अच्‍हमड़
thunder	गदरांच्मड़
thunderbolt	पिडगु
Thursday	बॆस्‍तारम
thus (that way)	अहन
thus (this way)	इहिन
tick (black, small)	पिडदुल
tickle	कुतुल कियमड़
·	गुलगुला कीयमड़
·	गुला्‌गुला
tidy (to)	सजांच्मड़
tie together	दोहमड़
tiger	केडा वेरकळ
·	बुर्कल
tiger (young)	सिर्तागंड
tiger.cave	बुर्कल सोर्रे
tight	गट्टिगा
tile	पेंका
time (instance)	टाईम
time (occurrence)	मल्‍का
time (of day)	वॆला
time (years earlier)	जमाना
time of sun rise	पोड्‍द पेय्‍सना वॆला
tin	तगुरम
tin (for cooking oil)	पीपा
tin.sheet	रेकुल्‍क
tingling	तिम्मिरि
tip (of plough)	कर्रु
tip over	मुडगुड
tired (to be)	तकांच्मड़
·	दम वायमड़
tired out (to be)	वीटे-देग्डे-मा-
to be (by nature)	आ-
to climb up	एक्‍कुड
to cover a house	वेसुमड़
to kind of tree	कनूग् मरा
to make boil over	पोंगिच्मड़
to stretch one's body	नार्यमड़
to. bear.child	कट्टुमड़
to.administer.blood	नेत्तुर एक्‍किच्मड़
to.and.fro.movement	रोंडु बाजुकुनाल ताकमड़
to.astonish	नड्‍हे कीयमड़
to.bandage	पट्टी वाटमड़
to.bathe	एर तुंगागोटुडु
to.be.hungry	करवेसमड़
to.be.short.of.breath	दम्मुंक वायमड़
to.be.tired	नेरबड़मड़
to.beat	जहमड
·	तन्नुमड़
to.beat.speedily	विस्‍कमड़
to.become.wet	अंगी नांदमड़
to.belch	गॆर्का तेंडमड़
to.bind.symbol	ताइत दोहुडु
to.bind.with.cloth	पेग दोहमड़
to.bleed	नेत्तुर पेय्‍समड़
to.blow.nose	मोसोटुन साप कियमड़
to.blow.nose.while.crying	सिर्क-सिर्क कियमड़
to.breathe	नेस्‍कमड़
to.bring.out.mucus	सिमीडी पोंगमड़
to.burp	गेर्का तेंडमड़
to.clean.stools	पेल्‍कतदुन तेंडमड़
to.climb	एक्‍कुडु
to.close	बंद कियमड़
to.come back.urinating	उळ्‍किसी वायमड़
to.cool	सल्‍लगा कियमड़
to.crack	नेर्रे पय्मड़
to.creep	ईगीसि होनमड़
to.die	हासि होन्‍मड़
to.dig.canal	नाली तवमड़
to.do.work	कबड़ कियमड़
to.donate.blood	नेत्तुर हियमड़
to.drink.water	एर उन्‍मड़
to.drip	बोटुक-बोटुक पोंगमड़
to.dry	वत्तिच्मड़
to.embrace	गले लगांच्मड़
to.expell.ill.effects	जिस्‍टी तेंडमड़
to.extract.blood	नेत्तुर तेंडमड़
to.fall.deeply	दिगाबड्‍सि होन्‍मड़
to.fill	निहमड़
to.fill.hole.in.ground.with.earth	पूडसमड
to.flow.continously	दारा अरमड़
to.flutter.the.wings	रेक्‍कां उपमड़
to.get.hiccups	एक्‍कुल्‍क तेदमड़
to.get.teardrops	कड़कुंक एह्‍क वायमड़
to.go.for urinating	उळ्‍काला होन्‍मड़
to.go.for.work	कबड्‍क होन्नुडु
to.go.zigzag	वंकरा-डिंकरा आसेके ताकमड़
to.have.cough	दग्‍गु तेदमड़
to.have.pain	नोप्‍पी आयुडु
to.heat	कचुहमड़
·	काच्‍हुडु
to.hold.nose	मोसोटुन पीयमड़
to.itch	दुर्दा तेदमड़
to.keep.in.hanging.position	वेलड पीसि पोंगगोटमड़
to.keep.in.sun	एदिते तासमड़
to.keep.tightly.pressed	अदमिसी पियमड़
to.lay.eggs	गुड्‍डूक पेल्‍कमड़
to.leave	होळ्‍समड़
to.loosen	ओदोल कियमड़
to.make.bricks	इट्‍के कियमड़
to.make.hole	तोर्रा कियमड
to.make.road	हर्री कियमड़
to.make.tiles	गूनापेंका कियमड़
to.make.upside.down	हिड्तुक-पोरोड्क कियमड़
to.me	नाकुन
to.melt	कर्गगोट्मड़
to.miss.the.menstrual.cycle	नेला तपमड
to.mix.tobacco.with.spices	गोटांच्मड़
to.move.by.rolling	उरलिसी अरमड़
to.much	बागा
to.pass.stools	पेल्‍कमड़
to.powder	दुलदुल
to.pull	गुंजुडु
to.recognize	एरपाट कीकुनमड़
to.remember	एरपाट इर्मड़
·	एरपाट कियमड़
to.replant	नेर वाटमड़
to.roast.in.fire	तडिमते बोळ्‍समड़
to.rub.nose	मोसोटुन नल्‍सुमड़
to.run.after.female.animal.for.copulation	एदा पियमड़
to.rust	सिलुम पियमड़
to.shine	तलातला आयमड़
to.shiver	गजगजा वन्‍कुमड़
to.shout	मोतुकुन्‍मड़
to.sieve	जल्‍लेडा पियमड़
to.sleep	निद्र होनमड़
to.slip	जर्गसेके होन्‍मड़
to.split.wood	पय्‍हामड़
to.start.fire	तडिम नीरस्मड़
to.stick	अतकुड
to.stomach.pain	पीरनोयुड
to.stop.breathe	नेस्‍काकोंटा मन्‍मड़
to.stop.while.running	वित्‍सेके-वित्‍सेके आगमड़
to.sweat	उब्‍बरिच्मड़
·	सेमटा दोसमड़
·	सेमटा पियमड़
to.sweat.from.body	मॆंदुल्‍क सेमटा पेय्‍समड़
to.swell	उब्‍बुमड़
to.swim.with.fins	रेप्‍पा ऊपिसि मुड़गमड
to.take.away.by.pushing	दोब्‍बिसी ओयमड़
to.take.rest	दमदिरस्मड़
to.throw	पोचमड़
to.throw.liquid	लोच्‍चुमड़
to.throw.on.the.ground	हुक्‍कुमड़
to.throw.out	तेंडिस पोच्मड़ / पोहमड़
to.trouble	तकलिप कियमड़
to.try	प्रयत्‍न कियुडु
to.urinate	उळ्‍कमड़
to.waste.others'.life	हेड्‍हामड़
to.wear.wet.clothes	पची कपडीं केरमड़
to.wipe	उस्‍मुडु
to.wipe.by.oneself	उसुमकुनुड
toad (small, brown)	नास-पन्ने
tobacco	पोग्‍गो आकी
today	नेंड
toddy-tapper	गमुलोड
toe.ring	मट्टे
toenail	गॊरु
Toilet	पेल्‍कना जॆगा
toilet (to go)	पेल्‍कला होन्‍मड़
tomato	तमाटा
tomb	वीच/बोंदा
tomorrow	नाडी
tone	लेंग
tongs	कार
tongue	नाल्‍के
tonsils	तोड्डिंग-वा-
tool (agricultural)	गुंटुक
tool (for carving, large)	पेदा बाळ्‍से
tool (for carving, small)	सिने बाळ्‍से
tool (for carving)	बाळ्‍से
tool (for gathering soil)	पारा
tools	वीसोरा
tooth	पल्‍कु
·	पल्‍लू
topple over	कूड-
tornado	हुडावडि
tortoise	तांबेल
touch	इट्टुडु
towel	तुवेला
town	नगरम
toy	बोम्मा
trample	जारमड़
·	हिडताल ताकमड़
transfer	वल्‍सां होन्‍मड़
transfer liquid	तोर-
transplant	विय-
transplanting	उर्सानोर
trap (bird, small animals)	पासा
trap (net)	दडंगी
trap (rodent)	उर्री
trap (small animals)	पांजी
trash	तुक्‍कु
·	सित्‍कु
tread down	हिडताल ताकमड़
tread on	जारमड़
tree	मरा
tree (kind of)	अर्टी मर्रा
·	इता मरा
·	इर्क मरा
·	एल्‍का मरा
·	कयूर मरा
·	कल्येपा मरा
·	कुमूड (मर्रा)
·	केस्ला (मर्रा)
·	कोब्‍बेर मारा
·	कोह्का मरा
·	गुंजे (मर्रा)
·	गोट्टे मरा
·	चिकु(मरा)
·	चिलटी (मर्रा)
·	जंबी मरा
·	जाम मर्रा
·	जिलोड मरा
·	टव्‍सी मर्रा
·	ताडि मरा
·	तिरमन मरा
·	तुम्मा मर्रा
·	तुम्मिर मरा
·	तुलसे मरा
·	तेका मरा
·	तोया मरा
·	दंते मरा
·	दूदी (मरा)
·	दोबे (मर्रा)
·	नीडा मरा
·	नॆड़ी मरा
·	पर्कि मरा
·	पान मरा
·	पूसि मरा
·	पोपडम मरा
·	पोलेसा (मर्रा)
·	बिबूत (मर्रा)
·	मंगी मरा
·	मद्दि मरा
·	मर्का मरा
·	मर्री मरा
·	मिनोडा (मर्रा)
·	मुर मरा
·	मुल्गे (मर्रा)
·	लेंड्या (मर्रा)
·	वजनीका
·	वेङूर (मर्रा)/संड्रा
·	संतार निम्मा मरा
·	साले मरा
·	सावरि (मर्रा)
·	सितापाला मरा
·	सॆदेपा मरा
·	सेदेपा मरा
·	हित्ता (मरा)
tree eaten by termite	दुर्सोत्ता मरा
tree stump	कुट्टा
tree trunk	मोद्दू
tree.fall	मरक अर्रमड़
tree.less.mountain	बोड़ा गुट्टा
trees	मरक
trees (collection of)	गुबुर
trench	पोक्‍का
trigger of gun	केव्‍वु(तुपाकीतद)
trouble (to cause)	जिर-जिर-कय-
trouble maker	सेड्डा मनकल
trough	ओडा
true	निजम
trunk (of body)	मॆंदुल्‍ता पजोटा बागम
trunk (of tree)	मोद्दू
trustworthy	बरोसा
trustworthy (man)	बरोसातोर
truth (in question)	निजमेना
try	कोसिस कियमड़
tsunami	सुनामी
tuck in	वेलड वाटमड़
Tuesday	मंगलारम
tuft	जुट्टि
tumbler	तालि
tune	पाटा
tunnel	बोयाराम
turban	रूमाल
turmaric	पसुपु कोम्मु
·	पस्‍पु
turmeric	कम्का
turmeric.offered.by.shaman	बंडार
turn	तिरयुड
turn (cause to)	तिरुह्मड़
turn over	मिडहमड़
·	मिडुंगमड़
turtle	बोक्‍का तांबेल
tusk	पल्‍लू
twig	कोम्मा
twin (boy)	एमडाल्‍क
twin (boys)	एमडाल्‍क
twin (girl)	एमडाल्‍क
twin (girls)	एमडाल्‍क
twins (boy and girl)	एमडाल्‍क
twist	नोटुडु
·	पुरी वाटमड़
twist someone's arm or skin	तेल्‍हामड़
two (m.)	इव्वुर
two (nm.)	रोंडु
two headed snake	मंजेर गुन्ना(रोंड तल्‍लना तरासु)
two.and.half	रेंडुन नरा
two.legs	रोंडु काल्‍कु
two.long.teeth.of.carnivorous.animals	कोराल्‍क

U - u

udder	वोहो/पोदुगु कियमड़
umbrella	सेत्तिरि
uncle	मामल
uncontrollable (of animals)	जप्‍पना होंगवायनोर
uncover	ओड्‍हुड़
uncovered head	तल्लक रुमाल हेलवोड
underground	बूमी हिडू
underground water	जला
underground.water	बूमी हिडु मनना एरु
undershirt	लोप्‍पो केरन्ना बनियन
understood (to be)	एरपाट
·	तेडियता
underwear	जांगी
·	सेड्डी
unless	हिला कोंटे
unnecessary	उत्तदे
unripe	पच्‍चगा(आकी)
·	लॆतद
unripe fruit	काया
until	अद्वेरदाका
untouchability	मुटुडु
up to	अद्वेरदाका
upbringing	पोस कियमड़
upon	पोर्रो
upper arm bracelet	दंडेकडेम
uproot	पेक्‍लिसी होनमड़
uproot (generic)	पीकुड़
uproot (many things)	जपा-जपा पीकुड़
uproot (with force)	ताकतते पीकुड़
urad dhal (kind of lentil)	मिनमूल्‍क
urinary.bladder	उच्‍चा बुड्डी
urinate	उडकमड
urine	उच्‍चा
urine (of cow)	गोड्डु उच्‍चा
use	उप्योग
·	पाय्‍दा
used for (to be)	कबड्‍क अरमड़
·	कां वा-
·	कां सी-
useful	कबडतद
useful (to be)	पाय्‍दा अरमड़

V - v

vagabond	लक्‍कु
vagina	पूडे
vain (to be in)	बह्‍कांचुड
valley	लोंका
·	लोद्दी
Vaseline, petroleum.jelly	व्‍हसलिन
vegetable	पर्सा काया
vegetable (kind of)	दोंडाकाया
·	बीरे काया
vegetable plot	वेटेड
vegetables	हापाकायां-मिरसां(कुसिरकायां)
vein	नर्रम
verandah	अरगु
vermilion and pink powder	कुंकुम अनि गुलाल पोडर
vermilion powder	कुंकुम
vertical pole	सेंकु गुंजा
very	वेल्ले
·	वेल्‍लेन
very cold	सल्‍लटद
very tired (become)	कंडतेम आयमड़
very, too.much	इरगा
very.little	गोडाचुक
vessel (bowl-shaped, metal)	गमेला
vessel (earthen)	बुड्डि
vessel (kind of, bronze)	जार सेंबु
vessel (metal, for water)	सेंबु
vessel.basket	बोडिन तट्टा
vest	लोप्‍पो केरन्ना बनियन
village	नार
village to village (from)	नार-नार
villager (nm.)	नाटेनोर
voice	लेंग
voice disappointment	पोम्मडेंगीं वड्‍कमड़
vomit	कक्‍कुडु
vomiting.sensation	ओकरेंता
vulture	गद्दल

W - w

waist	नडी
waist belt	नडी-पट्टा
wait	एदुर हूडमड़
wait (guard)	कापाडमड़
wait for	हर्री हूडमड़
wakefulness	तेल्‍विते मत्ताप
waken	पालान-की-
walk.by.foot	ताकमड़
wall	गूरे
·	वेलूंग
wall (cement)	सिंमेट गूरे
wander	वॆली
wanderer	लक्‍कु
want (to)	वेसमड़
want of money	तक्‍को
wares (cultivated)	पंटा
warm	कास्ता
warn (to)	बेदरिच्मड़
wash	तुंगुमड
·	नोर्रुड
wash away	पोङमड़
wash.clothes	कपडीं हुकमड़
washerman	सोक्‍लल
washerwoman	सोक्‍ले
waste	तुक्‍कु
·	सित्‍कु
waste.land	कबडक ओज्‍वा बूमी
·	बंजर बूमी
watch	गडि
watch over	पोस कियमड़
watching (crops)	जागिल
watchman	कोत्लल
