A - a

a kind of bird	कंचर गाड्‍दी
carving tool (large)	पेदा बाळ्‍से
carving tool (small)	सिने बाळ्‍से
caste	जाति
caste (kind of)	कोमटि जाति
caste, tribe	कुलम
castor plant	नेरडा मरा
castor.oil	नेर्डा निय्य
cat	वेर्कड
catapult	उंडिला
·	गुंटी
catch	पिय्युड
catch someone	दोरका पियमड़
catch.this	पीम
cattle	गोड्‍क-गोदाल्‍क
cattle bell	बोंड़ंगा
cattle bell (small)	गंटा
cattle section	कोंदना हाटुम
cattle-bell	पशुल्‍कुना गंटा
caught (to be, in a trap, by limb)	पांजीते अरमड़
caught up to	दोर्कुड़
cauliflower	पूता गोबी
cause to dance	येह-
cause to drink	उहुडु
cause to laugh	कवूसमड़
cause to remain	मिगिलिच्मड़
·	मिगुल्तव
cause to rise	तेदूस-
cause to rot	पुल्‍लगा
cause trouble	जिर-जिर-कय-
cave	बुयारम
cavity	मरा बॊलु
cement wall	सिंमेट गूरे
centipede (black)	जेर्रि
central meeting place	समाज मंदिर
centre (location)	नड्डुम
ceremonial instrument	पुटकेल्‍क
ceremony	लग्निंग
ceremony (kind of)	नोव्‍वां(उंदि पंडुंगुना पोरोल)
·	विज्‍जा पंडुग
ceremony (marriage)	मरमीं
chaff	पॆडु
chain	गोल्‍सु
chair	कुर्सि
chamelion	उसरेल्‍ली
·	येर्रा डोक्‍के
change	बदलांच्मड़
·	बल किय्युडु
chappal	हेरपुम
charcoal	बोग्‍गु
charm	दुम्मे
charming	जोरदार
charred	कूटेल
charred (be)	माडमड़
chase	ताकिच्मड़
chassis of cart	नोगा
checker	गिर्दवार
cheek	बुगिलि
·	सेंपा
chest	रोम बोच्‍चे
·	साती
chest.movement	रोंबोच्‍चे मेदुल्मड़
chew	हल्‍वुमड़
chew cud	नेमर वाटमड़
chicken	कोर पीसे
·	कोर-पोरि
chicken nest	कोरगूडा
chicken pox	पोसम्मा बर्रां
chickoo tree	चिकु(मरा)
chickpea (a)	हडिया
child	पोराल
child's father-in-law	पारी
childbirth (room)	अर्रा
children	पेकूर
children (many)	पेकूर-पेकीं
children's noise	लोल्ली
chilli flakes	नोहकुता कारम
chin	गद्‍वा
chisel (big)	पोह्पी
chisel (for rocks)	बिच्‍चु
chisel (for wood)	उल्‍ली
choice	पेरकुन्‍मड़
chosen one	पेरतव
chubby	मोद्दु
churning stick	टारेल
cigar	बीडी
cigarette.smoking	बीड़ी उन्‍मड़
citrus	संतार निम्मा मरा
city	नगरम
clamp.of.scorpion	कोंडीं
clan	पाडी
clan member (f.)	पाडीता
clan member (m.)	पाडीतोर
clan priest	बमडाल
claw	गॊरु
clay (dry)	तोडी
clay bowl	सिप्‍पा
clay vessel	ऐरेन अड़का
clean	मंचिगा किम
·	साप कियमड़
clean (rice)	तीर्पमड़
clean rice (to)	हेच्‍हामड़
clean up	साप-सापाय
clean water	मंचि एर
cleaned-up place	बल्‍ला
clear	रिकोम
clear out	रिकोम कियमड़
clear with fire	अग्‍गि डब्‍बा गीसा
climb up/over	एक्‍किस होनमड़
climb.tree.like.a.monkey	कोंडेंगालेसीं मरक एक्‍कुमड़
clos	केहमड़
cloth	सिंगुल्क
cloth (clothes to wear)	कप्‍पिड
cloud	मब्‍बु
cloudy	गुड्डि-गुड्डि
clump of earth (as in soil)	डेला
coagulate	गड्डा कट्टुमड़
coarse flour of millet	दोड्डु गट्‍का
cobbler's stand	रेंपा
cobra snake	नयतरास
cock's feather	कोरबूरा
cockroach	गिल्‍ले पुडि
coconut	कोब्‍बेर काया
·	नारलेम काया
coconut (part of)	कोब्‍बेर कुड़का
coconut tree	कोब्‍बेर मारा
coconut.oil	कोबेर निय्यु
coiled (to be)	गीडी-पा-
coin	कोत्ता
·	बिल्ला
cold	पीनि
cold (to be)	दडुङ-
cold (to have a cold)	पडसेम
cold (water)	सल्‍लटा(एरु)
cold season	पीनि कालम
collapse	उड़गुमड़
collapsed	कुल्‍हुड
collar (metal)	हेटेड
collect	जमा कियमड़
collection.of.money.for.any.specific.purpose	सादर
colony	पक्‍का लोतोर
colour	रंगु
colourful	रंगुल्‍क
comb	काके
comb (hair)	ऊसुडु
comb (large)	पडीया
come	वायुडु
come loose (rope)	लेहामड़
come out	पेय्‍समड़
come to mind	विचारम कियमड़
come together	उंदगा जमा आयमड़
come.near.slowly	मेल्‍लगा-मेल्‍लगा दगेर्कु वायमड़
compensation	दंडुगु
complaint	पिरयादि
completely	बोत्तिगा
compost	एरवु
compound gate	गलमा पिड़पू
compound wall	वेलूंग
constrict	नेस्‍का वायाकोंटा पियमड़
container	डब्बा
container (brass)	सर्‌वा
cook	अट्टुडु
cooking house	अट्वल रोन
cooking oil	नीय्यू
cooking vessel	गंज
cool	आरस्मड़
·	सल्‍लगा
cool (become)	आरुडु
copper	रागी
coreny of rice	कुड्‍दी
coriander	दनेम कुसिर
corn of paddy	वंजी हेन्नु
corner	कोंटा
·	मूला
corner (for worship)	पॆंदा अर्रा(आ अर्र‍ता उंदि मूला)
corpse (f.)	पीन्‍गू(मुरतड़)
corpse (m.)	पीन्गू
costly	पिरेम
cot	कटूल
cotton	दूदी
cotton plant	दूदी (मरा)
cough	दग्‍गु
·	दग्‍गुड
count	लेक्‍का
·	लेक्‍कुमड़
counting	हिसोब
country	देशम
couple (wedding)	नोव्रि-नोव्राल
courage	दैरनेम
courtyard	दारा
·	लोता सुटुना जॆगा
cousin	संगी
cover	पिहमड़
·	मुच्‍चुडु
·	मूता
cover over (to be)	मुचमड़
covering	पाका
cow	गोड्डू
cow calf	पड्डा पेय्या
cow dung	हडपी
cow dung cake	गोमेरा(हडपी)
cow dung solution	हडा
cow's urine	गोड्डु उच्‍चा
cowherd	गोड्‍कुना बोयुडु
cow-itch plant	दुलादामा
cowshed	कोड़का
crab	एटो
crab shell	कोरडॊकी
cradle (a)	ऊकड
crane bird	टिटिटो पिट्टे
crawl (on stomach)	बेंगमड़
crawl.slowly	मेल्‍लगा-मेल्‍लगा डेकूमड़
crawling.movement	बेंगसेके होन्‍मड़
credit (to have something on)	उद्देरा
creep	बाकुमड़
creeper (kind of)	तरास कस्‍कुते ओज्‍जना मत्तु वॆली??
crest	कोड्डी
cricket	जिर्रे पुडी
cripple (f.)	कूटि
cripple (m.)	कूटाल
croak	बॆंक-बॆंक इन्‍मड़
crocodile	मग्गूर
crocodile(male)	पोतू मग्‍गुर
crooked	बाग्डियाल
·	वाक्डाल
crop	पंटा
crore	कोटी
cross	एक्‍किस होनमड़
·	दाटुड
cross beam	दूलम
cross-cousin (m.)	संगी
crow (a)	काकड
crow (to)	कूसुड
crowbar	गडापारा
crowd of people	मंदि
crucial	कबडतद
crush	उस्‍सुडु
cry	अडुड़
cub (tiger)	सिर्तागंड
cubit	कूटा
cucumber	काकडि काया
·	दोसा काया
cup (made of leaves)	डोप्पा
cupboard (metal)	आवल्मरि
curdle	हव्‍वुडु
curds	पेरगु
cure disease	दुरूस्त-कियमड़
curry (kind of)	कड़ी
curry-leaf tree	कल्येपा मरा
curved	बाग्डियाल
·	वाक्डाल
custard apple tree	सितापाला मरा
custom	अलबट
cut (down)	हिड अरहमड़
cut (open)	सीरमड
cut (sawing action)	सेक्‍कुड
cut (throat)	कोय्युडु
cut (with teeth/scissors)	कत्रिच्मड
cutting hook	कुरपे
cylinder	पैपू

D - d

daily	रोज़-रोज
dam (a)	कट्टा
·	सेरवु
dam (to)	बंद कियमड़
damaged	कुल्‍हुड
dance (marriage)	गुदुमसाई
dance (ritual)	दंडारि
·	पेन विह्‍कमड़
dance (to)	एगुरुडु
dancer	एगरानोर
dancing (part of)	मेल्‍लेगा
dangle	दोंग-दिंग-आ-
daring	दैरनेम
dark	हीकटा
dark soil	कर्रे तोडी
darkness	हिर हीकाटा
date palm	गज्‍जेर पंडि
date-palm	कजुर मरा
daub	गूरे मेत्तुड
·	मिड्‍स्मड़
daughter	मियड
daughter's husband	हडे
daughter-in-law	कोडियड
dawn	पंगा आयमड़
·	पल
·	बय-बय-आयमड़
·	वीय-
day	दिया
·	रोज
day 02 Tuesday	मंगलारम
day 03 Wednesday	बुदारम
day 04 Thursday	बॆस्‍तारम
day 05 Friday	सुक्‍क्रारम
day 06 Saturday	सनेरम
day 07 Sunday	अय्तारम
day after tomorrow	मन्ने
day name (comes after)	आ रोजु
day.of.remembrance	दिनाल्‍क
·	देवसाल्‍क
daybreak	पोड्द-पेय्‍सनाल
daylight	वेल्‍गुने
dead	हातोर
dead animal	हाता जिवराशी
dead bird	हाता पिट्टे
dead man	पीन्गू
dead woman	पीन्‍गू(मुरतड़)
dead.insect	हाता पुड़ी
deaf (f.)	सेव्‍टिद
deaf (m.)	सेव्‍टी
deaf man	सेव्टि मनकल
deaf woman	सेव्टिद
debt	कर्ज
·	बाकी
debtor	लक्‍कु
decay	मुर्ग्मड़
deceive	दोका हियमड़
deception	लप्पंगी
decide	तलसुकुन्‍मड़
decimated (to be)	नस्‍टम कियमड़
decompose	मुर्ग-मुर्ग
·	मुर्ग्मड़
deep	लॊतु
deep pool in stream	मड़गु
deepen	लोतु कियमड़
deer (kind of)	कोंडागोर्रे
·	दुप्‍पी
·	मांग
defeat	पजा अरह्मड़
deficiency	तक्‍को
deity (name of a)	आकि-पेन
·	पेर्सा पेन
·	पोसम्मल
·	बीमाल
·	मय्‍सम्मा पेन
·	येत्मा
·	सति देवुळ
delay	आल्‍सेम
demon.possession	देय्यम पियमड़
dense	मस्‍क
dent	अंटावाटमड
descend	रेय्युडु
desert	उस्‍के बूमी
desire	इच्‍चा आयमड़
desk	बेंच
destroyed (to be)	नस्‍टम कियमड़
destruction	नुक्सान
destruction.of.house	लोह्‍कु कूलमड़
development of immature body	तोले मेंदूल वायमड़
dew	मच्‍चू
dhal (kind of)	पेसेल
·	मिनमूल्‍क
dhoti	दोती
die	हायुडु
diesel	डिजेल
different	वॆरे
different (emph)	वॆरे-वॆरे
difficult	कस्‍टम
difficulty	तक्लीब
dig	तव्‍वुडु
digested (to be)	अरग्ता
digger (small)	पारा
dilute	पलसगा
·	पातूर
dilute.with.water	एर-एर
direction	दिक्‍कुल्‍कु
direction (a)	उत्तेरा(दिक्‍कु)
dirt	दुब्बा
dirt (on skin)	मुर्की
disabled person (f.)	कूटि
disabled person (m.)	कूटाल
disappear	मायसोनमड़
disappointment (to voice)	पोम्मडेंगीं वड्‍कमड़
disapprove	दया
discard	दिगादूडस्मड़
discard liquid	सल्‍लुमड़
discovered (to be)	दोर्कमड़
disease	रोगम
disease (on plants)	नुसि
dishonesty	लप्पंगी
dislike	पास्‍कमड़(इस्‍टम हिल्‍ले इनमड़)
displeased	नाराज
dissolve	अर्गुमड़
distance of two miles	कोस
distorted	गुड्डि-गुड्डि
district	जिल्ला
ditch	पोक्‍का
dive	मुडुंग-
dive down	दिगा बडमड
divide	तूस
·	वेरे कियमड़
·	हिस्‍सां कियमड
division	पाल्‍कू पंचुमड़
do	कियमड़
·	येर तुंगमड़
doctor	डाक्‍टर
doesn't.break.easily	जप्‍पना पय्यो
dog	नय्यु
dog(male)	पॊतू नय्यू
doll	बोम्मा
dolphin	डाल्‍पीन
donkey	गाड्‍दी
donor	दनि
door (bamboo)	गलमा पिड़पू
door (wood)	तलपू
dotted.turtle	सुक्‍कांना तांबेल
dough	पिंडि मुद्दा
dove (kind of)	गुव्‍वा
down	हिडु
downwards	हिडु
doze	कूर्कु
drag	इग्‍गुडु
drag one's feet	मेल्‍लेगा
dragging tool	गिर्रे
drama	आटा
draw (water)	तेंडुडु
draw a line	गीता गीसमड
drawing	नक्सा
dream	कला
dress	लेहेंगा
dress meagerly	तक्‍को कपडिं केरमड
dried	वत्ता
dried stalk (broom)	जापूर
dried stalk (fodder)	सोप्‍पा
dried stalk (waste)	कट्टे(वतुतद)
dried tree	हाता मराकु
dried.soil	पोळी मन्नु
drill	बर्मा
drink	उनुडु
drink (inf.)	उनना
drink.medicine	मत्तु उन्‍मड़
drive	ताकिच्मड़
driver	ताकिच्‍चनोर
drop	बोट्टु
drop (from a tree)	कुसुडु
drop (something)	तुह-
